Main Title,Full Review
Day I was been cheated with a loss of 28 Dollars.,So I being a rational consumer on Amazon loves to surf this site very much. This incident took place in the year of 2018. So like any other day I was surfing on Amazon like usual and I come across the Amazon prime service available in India I liked the services they provided and that time there were was a 30 days trial period so thought to cancel the membership on the last day of the trial. I took the trail and cancelled it on the last day. then I come across the US amazon prime membership and there was a bit more services available on that us site. I mistakenly buy that service and forget that I purchased it on us site. so after 1 month I get y credit card receipt and there I was been charged of$7 on it as an international transaction. I got surprised and quickly gone to the website but I found that there was no prime membership running on my account.i fell that my credit credit card got hacked. And continuously for two they charged$7. finally I came across the us site and found that the prime service is running in that us site and till that time I have not used a bit it.i immediately cancelled it and as per the policy I should get a refund if I did not used the service much.but they did not refund my money. I don't know if this is because I was a Indian amazon customer and applied for the us site but atleast they should refund 50% of money. this was my story so beware of this next time you take any prime membership.   
Blurry video streaming,After many days I subscribed to amazon prime videos to see breathe into the shadows but I found out the video streaming blurry so I thought might be some network issue but when I streamed on youtube on the same connection  the hd video was running smoothly on youtube. So I checked the display settings and I was already in best display mode and I cleaned the junk files and restarted device and tried to check another webseries unforgotten army and display was even more blurry so I tried to wait for 15 minutes but it was going good for a while and again it blurred again and again. It really needs improvements in interface keeping in mind the quality standards of netflix and hotstar   
Honest review Love the app,Amazon Prime     Hello everyone.     I will be sharing my opinions and review on a very addictive and interesting app that's used by millions that Amazon Prime Video.     I am a user of the Amazon Prime for almost 2 years and its worth the price. It's easily available on play store and the app store so yoy\u can easily download from the store sign in with your account and you are ready to go. The membership cost around 999/- yearly or 129/-     monthly. There is an offer available for students where they can get 500/- cashback on the yearly membership.     The app provides various features in one-day delivery options as well as free delivery a streaming platform which gives movies and TV series in various languages and an Amazon music app which also is very good.     Latest movies and TV shows are available early.     The price for which it offers so many things is just awesome. overall the prime users get access to the amazon sale early and more amazon pay offers are available for the prime users.     Very nice app and must recommend using.   
Amazon prime video 30 day trial don't go 4 it.,Please don't go 4 it. After one or two movie show prime will ask u bank card details & shows warning that if u don't cancel it it will auto renew by Rs.999 per year. So without giving bank card detail u will not able 2 enjoy 30 day free trial. Once u fill up bank card detail & 4get to cancel u will charged Rs.999/-. So beware of getting fooled. It's risky trial.   
Poor service is provided.,Prime video also know as amazon prime video is an internet-based video-on-demand service.     It is owned by Amazon whose CEO is Jeff Bezos.     Prime video offers many exclusive shows and series and besides that it offers many movies     Pros     -Exclusive series     -Exclusive and original content     -Support of music and free prime delivery benefits     -low cost in comparison to Netflix     Cons     -Paid service No free content     -Many movies are missing     -Lack of good series as Netflix     -Not all products on amazon are prime supported     -Too much buffering while streaming     Web app design     The amazon prime app has been designed very badly it don't work properly in Smart Tv the app has a confusing system that should work on app development. The amazon prime just works fine on laptops or pc which have bigger screen and chrome support. Their developer team needs to work on it and also make more or every product prime labeled.     My personal experience     My personal experience with amazon prime has been not very good It often crashes on its own. Yes you can hare the passwords with many others and relatives but it has an error while chrome casting     Secondly its interface is not very good in comparison to Netflix and The amazon prime app on smart Tv works worst.     You cant properly connect your phone to television and the app functions also do not work properly on the television app the fast forward buttons are very confusing.     Conclusion-     Concluding my review I want to say don't waste your money in buying the prime or it will just work fine on your laptops or pc and nowhere else. Else you could google some tricks to download the series and another thing for free of cost it will save your money and time both     I hope you like my review if you like it do follow me for more.   
Prime video,Amazon prime video is an application were we can watch latest and exclusive movies or series and kid shows online in many different languages with low data. No ads we can also download and watch online.     Amazon prime provides many benefits which includes fast delivery of the product purchase streaming of movies tv shows and musics unlimited reading and many more.     To get all this benefits we need to subscribe for the amazon prime membership. Hurry up guys and get Benefits of the prime membership.   
Amazing!!,I have been using amazon prime membership for last 1 year. I have collected benefits from flights while traveling to Kerala. Also I have got cashback while recharging phone balances. Cashback is generated even in buying smartphones. Also prime video have many good series like four more shots please!  panchayat the forgotten army etc. Also Prime music is there to play any song you like. I think in my 999 rupees package I almost benefited 2300 rupees. Delivery changes are zero and one day delivery is very nice feature. One can go for it.   
About Amazon prime video,I am sharing my personal experience towords Amazon prime. Last time I got Amazon free trial and it was super awesome. In this portal they provide daily updates movie. When I compare Netflix to Amazon prime so I think amzon prime is better then Netflix because in the Netflix all the about criminal. In Amazon prime video there are family movie are there that's way it's sufficient for a family.     Why only Amazon prime video.     There are some reason which I got know that     Customer service best they provide.     Easy to use interface.     There is less lacking of the system.     Family friendly.   
Insufficient bandwidth error messages on my tv,I got "Insufficient Bandwidth" message. But other videos on Netflix YouTube etc. are working just perfectly fine. It is so boarring to watch my loved movies on a fhd tv with this type of error messages and picture blur  what kind of technology you are using make it supportive for all operating system as well as with least requirements alike YouTube Netflix etc... So saaaaad.   
One of the best video streaming service!,Amazon prime is one the most popular streaming service in India. It is a platform where you can stream and watch movies and web series. Below are some of the reasons for which I would recommend amazon prime over other streaming platforms:        Video and Audio quality on amazon prime is the best in it’s class.        The UI ( User Interface) of the app is amazing and user friendly.        The movies and web series are available in most of the languages spoken in India.        The subscription price ofcourse. It costs only Rs. 999 per year which doesn’t hurt the pocket of a middle class man. For students it's just Rs. 500 per year n that's really amazing           Also amazon prime releases some of the stuff of it’s own as well which is only available on prime.     One such example is Four more shots please.     I personally have watched many movies such as Crazy rich asians Good newwz and web series such as Two and a half men The office Mom Vampire Diaries and would recommend each one of you reading my review to buy the subscription and enjoy streaming movies and web series in the best quality available on the internet.   
Dear costumer don’t get amezon prime Videos.,Dear all don’t prefer and get amezon prime log in. They are cheating us various methods. If you are share your video Chrom cast means it will not connect  if in case connect it will automatically close with in   
I am using meesho for last 1 year it is a good res,I am using meesho for last 1 year it is a good reselling application.i purchased a lot of thing like dresses electronic mobile accessories etc...the all products have good7780182678 quality and get in low price and also I earned a lot money by reselling on this app it is a trusted app they giving me correct payment on all reselling products I totally loving this app   
REALLY UNHAPPY WITH AMAZON PRIME SUPPORT,I have the Prime Amazon Membership and for almost 15 days I am not able to stream any videos on my One Plus 7. I have called the customer support 4 times explaining the issue every time and the funniest thing every time every support team member gives different reasons for the issue.     " Can I place your call on hold to check the issue" "Thank you for your patience Maam" 'We are really very sorry" "We can't commit on the time when the issue will be resolved".     I have heard this over and over in all the calls.     I really don't understand if there is a technical issue of video not streaming on One Plus 7 how is the issue not resolved and why is it taking so long. I think it's a big-ticket to the backend team.     I really have no idea how long I need to wait for this issue to get resolved.     In my last call I wanted a call back from the higher authorities but I never got any callback.     I have paid for the subscription and I need a solution for it.     How long do I need to wait for it?     I am only left with no other option then write reviews everywhere.     I wonder if this is going to really affect you.   
Amazon.com Fraud,ICICI has a tie up with Amazon Prime If you tend to purchase any Product through Amazon.com then Amazon Prime gets enabled automatically and the money starts getting detected from the Debit card every month.(Loss of 1900 RS in two month's time). Post unsubscribing from Amazon Prime and removing the ICICI account details in Amazon.com website with in a few days the money was stolen through VINLINKEDIN with a loss of around 1600rs. Realized the account was miss used by ICICI or Amazon or by some one who is linked to either of these two organizations. I have now closed the ICICI Account. Be Cautious with these Org's.   
Amazon prime video,Amazon prime video for best video experience of newly released MOVIES and TV SHOWS.we can use this account from anu where with Data connection at Rs 129 per month. Better video experience and cricket live can be seen at HIGH DEFINITION quality.It contains more than HUNDREDS of languages. So one can access information in their NATIVE languageand understand every action.By the way one can use use amazon music too.Tv shows are perfectly recorded and lively telecasted with HD quality.Atleast 10 members can use one amazon prime account subscription.Thank you. For any complaints please comment below??.   
Very disappointed,Amazon Prime becoming such a Bullshitt right now. Only they are uploading movie in South Indian language. Looks like it's only South Indian app. Disgusting. U guys uploaded sahoo and syeraa in South Indian language only. Such a shame   
Prime is a pet of South content,Prime has become a pet of Tamil telgu mallu and Kannada movies.. like rest of India doesn't exist. No latest English or Hindi content. All Hindi series comes once in a while but other Indian language content is so fuking frequent.   
Nice Interface but lack of movies,Hello everyone! Amazon Prime Video is a streaming service which provides movies and web series. I am sharing some pros and cons of Amazon Prime Video.     Pros:     Nice user interface and user-friendly.     Available at a low cost.     Many devices can be connected by using only one account.     Different streaming quality options are available so as to avoid high data usage.     Subtitles are available for almost all movies.     Cons:     Lack of movies and very limited web series are available.     Very less movies are available in multiple languages.   
Great Video Streaming Platform,Hello Everyone.!     Amazon Prime Video is an online Video Streaming platform where users can watch Various Tv-Series Movies Animated Videos etc.     Amazon Prime video is available in Website as well as on Mobile Application. And the best thing about it is that it is affordable by everyone i.e 999/Year. We can find Hollywood Bollywood and South Indian Movies here. Movies here are available in various languages like Hindi English Tamil etc. There are many Tv series that we can't find easily on Internet but most probably you can get it on Amazon Prime Video. I have been using amazon prime for 1 Year and I really loved its services. The only thing I didn't liked about amazon is its search option Search option doesn't Work Properly but may be amazon will fix it Soon.     Thank You   
Amazon prime,Hi I am Amazon prime member my e-mail I'd has been changed because I have forgotten my password and unable to login to prime video as well kindly help me to login   
Useless,They only say that its free and fast delivery  takes too much time for add new movies  its better to go with zee 5   
Amazon prime :No entertaining,Hello guys today I am going to review about amazon prime vedio which I am using it from past 1 year.     Guys I am a prime member of amazon from 1 year and I am paying 130 rupees every month and guys I didnt found that much entertaining concepts from amazon such that whatever movies and serials you are getting they all available in telegram for free     Some of the programms which are not found in amazon are also available in telegram     And guys amazon prime donot have more regional movies and amazon keeps on removing movies     And sometime I gets stuck by vedio quality     and whatever regional movies are available those all are old one and guys as I see more kannda movie only one new kannada movie that I found is kgf     So guy s I prefer not to subscribe it   
Useless,Amazon keep deleting movies it doesnt has any new movies     all movies are there which you have watched     its not worth the money   
Most useless and pathetic one,I have seen one pop up about this worst amazon prime and interested to opt it and onfact my friend too using it and but suggested not to opt it ?????????? but I went ahead and taken it first I thought per month later went to year subscription and now my rral problems started. firat of all Amazon prime app is so worst and buffering buffering pathetic than youtube. pic quality is trash even in top class. what a pathetic quality amazon prime. waste amd. Worst amazon prime   
Amazon prime audio,Amazon prime..The audio is very feeble whereas background track is loud..unable t listen even at high volume.Im using samsung android tab. Same prblm with others when contacted. Screen mirroring with tv does not show any improvement.     I dont know how the amazon stick works   
Amazon Prime Video,Dear Friends I was subscribe Amazon Primes for me and family members. it is really enjoy family full day of a week. I and my Family members are really satisfied with services and functionality provided by company endless. Really Good and Effective Service. I recommended to subscribe and Enjoy your life.   
Use Less...,Amazon Prime Video is useless because new movies are not coming on time. They are uploading movies 8 to 9 months after the release date.     I will never suggest to anyone for Prime Membership.     better we will go with any other option this is the worst membership.   
Not prime,I don't feel prime as we get in shopping for delivery all the movies uploaded very late almost same time when it comes on TV itself. Not many TV web series like we have in other prime channel memberships difficulty in browsing the contents it's mixed and not useful search result also don't work in some cases. Even this don't have casting to TV option I mean the player has limilited functions.     There must be some more category to be added in this.   
About contain they provide,Amazon prime video is a very good application in terms of contain and video they have     I subscribe amezon prime members since 1 year.     They give a best serious to watch lick merzapur and other English series for watch.     They provide various movie also for watch and also have access of subtitles.     It's pleasure to watch contain in oue language and with English subtitles they provide.     With subtitles I can improve my learning with English and also learn a new word.     Subscription is the velue for money.     .     And also I can download the contain offline for letters watch with subtitles and the best thing is they provide information about acters which are in video so I can improve my knowledge regarding the acter also .   
Amazing Source of Entertainment in India,Amazon prime is a yearly subscription . It include amazon fast delivery and other extra features of products. In addition amazon prime video can be accessed through prime subscription. In amazon prime video app one can be accessed with multiple tv series its own series' etc. In India amazon prime video include kids series also. Most famous series' are very much related to India and we love to see it.   
Limited Movie Database,Amazon Prime benefits are good. Videos Shopping and Music in one subscription and at a reasonable price. I am a movie lover and wanted to watch movies in all languages. Movie database isn't that good. new movies will be added rarely. I have watched a few series like Young Sheldon Jack Ryan Breath The Mentalist and Mirzapur. these are good to watch.   
Honest review,I am using amazon prime video since 3 months. Amazon prime India region sucks to be honest nothing is valuable here except Mirzapur series. All old or not worth to watch movies. Its better to go for netflix or try watching movies online than spending money here.     Imrpovement - Needed alot try uploading good english series and latest good movies.   
You get what you pay for.,Ive been subscribed to amazon prime for 2 years now.Infact i only use amazon prime as my whole source of entertainment.I dont have cable connection either.It is defenitely a good series/movies viewint platform but not as good as netflix.Anyways we only pay around 900 for an whole year whereas other things like netflix charges us 599 per month.Amazon prime is sefenitely a vfm product but can defenitely not be dependent as a single source of entertainment.in Tamil i feel like they mostly buy very boring movies.They usually never get hit movies from not only tamil but from any indian language if money is not an issue for you go for netflix if not amazon is goot too but not the best.   
Superb video experience,Hello guys     I would like to share my experience on Amazon Prime video.     recently I subscribe Amazon Prime video and watched to series 1 is breath and 2nd is Mirzapur.     both series are very good and entertaining.     it also provides latest new movie directly on amazon prime. that is good features of prime.     we can also download all the video and make it offline when you are out of network area.   
Amazon Prime videos,Hi there is no latest movies in this the only movies which are utter flop movies will upload first that is the good thing of amazon I took one year subscription of prime it is waste of money no movies r good new movies which are even given on TV channels also not even getting in amazon so what is the use of prime video.   
Amazon Prime subscription,Hello All     Amazon prime is a amazing video browser. I have subscribed this network just on a trail base. Amazon has N number of TV series(the old one which we miss) and also different movies including Indian Movies. I have subscribed for the amout of 129Rs for 1 month pack and I am happy it is more than it is worth. Also like to mention they do have kids section where they can watch all fair tail and also TV programs. I would strongly recommend you to subscribe Amazon Prime Videos.   
Worth every penny,I am a active subscriber of prime video from past 5 months. Its been a great journey so far. The main thing I like about prime video is that it has lot of Indian content. Which make prime video more Indian. Prime video brings all new content with night quality resolution. Comics are best and is still rapidly expanding its collection. Long way to go with prime video   
#Review #29# Best entertainment app,Hi friends I want to share some the best entertaining app Amazon prime which bas contain lots of stuff who can easily entertain you. I personally used this app in my smart TV and I really enjoyed very much. Some my favorite web series also there and also new one which I like most. To be very honest I didn' t pay for Amazon prime because it' s a gift of free one year subscription from airtel portability and I must say when I experience it I very much entertain my self and after that I madly ues this app. I am sure that if its continuing uploading this kind a stuff then everybody will entertained there selfs. And also one thing in bounce that you can using your prime membership for anything order from Amazon.com in less time and betting way that I like very much. I also ordered from Amazon.com using prime membership and I found good results so that I want that everybody use this and take benefit. See friends I am not promoting some thing but its good so that I can share with you. Thank you friends for giving me your time.   
One Stop for Many Genres,I am really happy that Amazon have launched such a great Video collection platform.     They have movies cartoons tv-serials animations etc. That too in English Hindi Telugu Tamil Marathi and Bengali.     I have watched a lot off movies tv-serials from Amazon Prime Video.     The perk is that they are official streaming partners of all the latest movies most of them appear in the Amazon prime Video within a month of the theatrical release.     They have this x-ray feature where you get to know about the characters present in the current scene and the name of the background music playing. They even have the IMDB rating which helps you to choose the best to watch.     Not to forget they even have their oven Amazon Originals shows which recently had comicstaan which was a great stand-up comedy reality show by the way.     I connect my laptop to our TV and enjoy a movie with my family streaming from Amazon Prime Video occasionally.     Overall it is the best.   
Good picture quality & need some improvement.,Amazon prime video the quality of the most video is good     There is no latest videos. The video are more than 1 month old     Please upload latest videos .one more thing there are not all Bollywood movies I was searching for udta Punjab but this movie is not available on Amazon prime videos     Please make some improvement in your aap   
Real Hd Clarity,Hi     After continuous advertisement I have subscribed for Amazon Prime and I am loving it. All the movies shows are in HD clarity and the subscription price is also moderate not too high or low suitable for all groups. The first movies I have watched after the subscription is Rangasthalam Telugu movie of my favorite hero Ramcharan.     The concept of Amazon is great and the website well designed with clear segregation. The important thing which attracted the most is kids zone where my kids can enjoy their shows and movies.   
Amazon Prime Video,I tried the Amazon Prime one month free trial and I was sticked to the mobile. I am seeing usually the English TV shows this application have lot of English TV shows available just for Rs. 499/- per month. This is a version of Netflix and it is very pleasant.     Amazon prime can be easily download from Google Play Store and you can sync if with your amazon shopping app. So it takes all the login information from there. There's a quick tour of app when you first install and start using it.     The app is very easy to understand and it has a huge library of good movies and TV shows Amazon prime has some Prime exclusive shows too.     This app is an absolute delight and given the fact the quality is changeableas per your WiFi/Data sing skills are awesome.     I am very happy with Amazon prime.     Thanks.   
Best online movie app,The amazon has launched a nice concept on online movie for the prime members of amazon which had made them more profitable and attractive to others. I am a prime member of the app since it was lanched. I have got to see all the latest movies and tv shows on this app. the latest movies of best hd quality can be seen and also freely downloaded with less consumption of data. the facility is such given that you can even know the real name and their information of an character in ongoing video simultanousely. if also provides parential control on movie we watch. the movies are sorted according to comedy thriller action romance an kids. I hope that it will continue this facility and bring more and more update.   
Amazone prime,Don’t wast your time to search any Bollywood movies on Amazone Prime.     I am really disappointed with amazone prime no one is movies available on Prime. Online Google Website is much better then Prime.     Nooooooooooooooooooooooooooooooooooooooooooooooooooo   
Great,I use to watch only amazon prime .latest movies and series .its really wonderful .high defination quality .you just need to pay 1000rs for yearly subscribe .after amazon prime I am not using cable tv .amazon prime has best quality of videos  yon can watch old films  english movies  web series .or either new films .its really in very less amount .but you need just internet connection at your place   
Super cheap and Super trash,Only thing about this website that amazes me is that it is super cheap. It has to offer loads of prime products at very cheap rate at 1000 Rs per annum. It also has started another offer which monthly offers 129 Rs membership.     The shows are super trash and hardly make an impact on the mind of the viewers. Breathe was an exception. It was very dark and pacy.     But overall it can't match the intensity or the quality that Netflix or Hulu has to offer.     Safe to say it is an average start by Amazon in the field of entertainment. Hopefully it will get better.   
Best video streaming service at this price,I am rarely impressed with the video streaming services available these days. Either they are too pricey or offer content that lacks quality. With Amazon Prime Video you can expect good quality at reasonable rate. Best part: You can share the membership with your friend to further reduce the price.     They regularly add new Bollywood movies to the catalog.     Currently I am enjoying their original show Comicstaan a reality series based on stand up comedy.   
VERY BEST APP FOR MOVIES,HELLO FRIENDS I sharing my personal experiance on amazon prime video app I have this app I very like this app.     Amazon prime video app is a latest video watching app you can buy membership for 1year you can watch latest movies and old movies it is very fast app     Amazon prime video is very fevoriat app in india very clear voice and picture it is so entertaining you can watch movies any time any were.     It is my favoriat app I recommend app to all thanks.   
It's not really good app,Hi guys know I am introducing you to Amazon Prime video Amazon says that every type of videos and movie is there in app it's right but when we select any movie to see it we will type in into but so many times there is no response in our type. One more thing then we search any movie or any song we will not find a right movie or song from this app I would like just see you this app is not correct app to see any movie and video for online more better app are found in our smartphone . So I would like just say you use another web to see any video in any movie thank you guys ok bye have a nice day and hope in my comment in Amazon Prime video. ?   
Feel privileged,The Prime Video is like Netflix right? In fact somewhat less than Netflix because the collection is smaller. But it's still a good collection with something for everyone. Plus there's free music for your unlimited listening pleasure. The best thing about subscribing to Prime Video however is that you become an Amazon privileged customer. That means you get free and quick delivery on your purchases. The flip side however is that the free and fast delivery is not for every product - only those enlisted in Prime. Moreover the "fast" is not so fast anymore. Amazon needs to step up a gear to beat competition a.ka. Netflix.   
High quality videos,Friends today I would like to share my personal experience with the wonderful application amazon prime video.This application allow us to watch many tv shows and movies pragrammes series etc through this platform.First of all we want to pay 999 rs for one year.After that we can watch any tv shows and movies freely from here.The money we are paying is completely worth because the quality of videos are that much good and many movies and tv programmes that are not available in internet is available here.When we consider the monthly charge of cable and dish box this application is very cheap completely suitable for common people also.Even if we pay money more than this in cable and dish connection many shows are not available also we forced to watch in the time of telecast otherwise ee will miss that.But through this wonderful application after paying the certain amount we can watch every programmes in our free time.we will not miss any parts and dialogues.After the membership we can connect with multiple device and unlimited access are available.We can download videos here and watch offline.The data usage of the application is also very less.The other important feature is there is no any advertisments in this application.Channels are family friendly because there are channels for everyone.We can connect the amazon prime upto 3 devices.Many regional movies are also available which are not uploaded in any other platforms of internet.Latest shows can easily access from here.We dont want to spend more time in internet.Also the application interface is also very simple and the layout and design are very attractive and helpful for the easy usage.So if you are a person who loves watching tv shows then I reccomend you amazon prime video because it's just a great experience.   
Prime Videos: honest and through review,Prime Videos: After using it for an year and watching more the 50 TV series and 5-8 movies I'd say that it's worth it for 500/- Rs a year. There are some great tv shows are there like Mozart in a jungle American gods etc. They've put some famous tv shows too from other platforms like ABC Netflix etc.Movies section however is not even satisfying. They've got old boring and very selected or cheap ones in the collection. Overall as it is getting better with each day and quite cheaper than others I'd call it a go.   
Amazon Prime "Premium",I am using the amazon prime from couple of weeks.     Quality: First I want to tell about this quality it is really awesome.     Price: No other things will come on this reasonable price. Price wise I have satisfied well.     Tenure: They are giving one year on reasonable price. Compare with Netflix it is Superb.     Updates of Movies: I am not able to give the answer for this one. Because they are not updating frequently movies in this website. So I am little bit disappointed under this tab.     Netflix is awesome to updating a new movies in their website.     So finally my thought about this product is Good at reasonable price and giving long Tenure comparing with others like Netflix.   
Amazon Prime - Plz do not go for subscription,I am very disappointed after opting amazon prime membership at the cost of 999 that is too much costly .  as they have limited collection of movies videos and web series. whenever I try to search my favorite movie/videos it shows "YOUR SEARCH IS NOT FOUND" however these movies/videos are available on you tube Airtel and JIO TV app which are free of cost. it seems I wasted my money on amazon prime. also Amazon prime uploads the movies when they get outdated Overall I wouldn't recommend Amazon Prime - it is not up to the expectations.     Thanks   
Watch your favorite movies TV shows  kid shows,Amazon prime is the best place where you will find HD quality vedios with good sound. Amazon prime provides you this facility in amazon prime website as well as amazon prime app. You can take membership at just Rs 999/ year. I got this free membership for a year because of airtel pospaid plan of Rs 499 . So guys hurry up install it take membership and watch your favourite movies shows anywhere. You can watch your favourite shows as per your convinient time . Amazon prime is an fantastic app which will provide many kids movies as well as shows.   
Excitement Videos - Amazon Prime Videos,I Personally Recommend this Amazon Prime Video Because the app is really good. Recent & New Movies you can watch it in HD. And all type of series also we can watch through this. In this app ads are not much. When I started watching it it was Exciting to watch more and more videos   
Worst movie and series app,Hello! I am using Amazon prime since last two month and I have tried to search many Hollywood movies & bollywood there but they have very limited collection It looks like I wasted my money. They dont have updated seasons of series and not even the best movies of all time All I can see is the few movies only with very limited choice or I should say there is nothing to choose as they dont have anything major to showcase.     Poor app ever   
Amazon prime,Stream and download popular movies and TV shows including Amazon exclusives like The Grand Tour The Man in the High Castle and Emmy award winner Tumble Leaf.     Customers in India can enjoy hundreds of Bollywood and regional hits.     Select titles are available to download at no additional charge.     App features:     -Download movies and TV shows over Wi-Fi or cellular to watch anywhere anytime.     -Customers in India can enjoy hundreds of top Bollywood and regional Indian hits like Sultan Baar Baar Dekho Kabali Dhoom series and more!     -View IMDb data about the actors songs and trivia related to your videos during playback with X-Ray.     -Stream the first episode of select TV shows for free. First Episode Free videos include advertising before and during your videos.     -With Amazon Channels Prime members can subscribe to over 100 premium and specialty channels like HBO SHOWTIME STARZ and Cinemax. Only pay for the channels you want no cable required cancel anytime. ( US only) .     -Purchase or rent videos from our catalog of hundreds of thousands of titles including new release movies and current TV shows. ( US UK only)   
Amazon prime video review.,I tried the Amazon Prime one month free trial and I was hook up to it core. I am usually the English TV series person and this app has a lot of English TV series available for just rupees 4.99 per month. This is a version of Netflix and is very pleasant.     Amazon Prime can be easily downloaded from Google Play Store and you can sync it with your Amazon shopping app so it takes all login information from there comma there quick tour of the app when you first install it and start using it.     The app is very easy to understand and it has a huge library of good movies and TV series Amazon Prime has some Prime exclusive series 2 which are worth a watch.     There are many features on Amazon Prime video app which are comma the new arrival and best collection on the top if you have started using Prime it then has the watch next tab tab which will have the ongoing Osteen movies TV series this is some real good collection of prime original series this will have the latest movies in the Amazon Prime collection this has the collection of TV series that are in the library I am currently watching mum and believe me a review is up for the TV series.     This app is an absolute delight and given the fact that the quality is changeable as per your Wi-Fi or data saving skills are awesome.     Thank you.   
Won't get cheapest subscription anywhere else,I use my friends subscription and I am very much satisfied with the quality of services it offers for 2 devices.     The latest Bollywood movies are there and are in an Hd quality with subtitles like Padmavat and Tumahari Sulu.     Amazon Prime has also latest TV shows which are also its originals and have a very high IMDB rating.     The best part about it is that it has all the latest movies and TV shows and it is available at a very low price for a year as compared to Netflix.     You can also download and save later for watching it.     Its app is also quite smooth. Would highly recommend to people who have good wifi internet speed.     For college students and working people it's a great subscription along amazon offers.   
Amazon prime,Hey guys I have subscribed to Amazon prime 2months ago im telling u it is really amazing app . We can many webseries movies and all. Video Quality is very good. Customer service response is very good. I prefer it is very good app for entertainment.   
