Main Title,Full Review
NETFLIX,Netflix is one of the most Popular Streaming Services in India. It Provides Movies and web series. the quality and the sound/audio of the Movies they are providing is the best. They are providing the movies and web series from Hollywood Bollywood Turkish Japan and from many more but most of them are from Hollywood the contents providing of the series or movies are unique exciting Thrilling Romantic etc and they are also offering cartoons shows and movies for Kids also that very Interesting thing. I have been using Netflix for the past 1 year and my experience is good.     The subscription charges are also quite cheap if you are taking it combined with your friends 4 to 6 people can watch movies or web series at one time with one Account according to plan to your taking now it is also offering Netflix Moblie Plan of Rs 199 only.   
Lucifer,Lucifer and money heist are the best web series on Netflix...it contain a number of good series and films like Dictator Irishman Friends Locke & Key etc. Netflix is better than prime video.   
Worth subscribing...good content,NETFLIX is the most streamed website in india it really has a good collection of movies and series .     something that you wont find in a typical indian bollywood movie.     far better than the old boring bollywood movies.     netflix gives a huge range of hollywood series which is worth watching .   
Vulgar non interesting content,The content on netflix india is not based on viewer discretion but rather caters to the simple corporate logic of giving sex  violence and abusive language. Not a single indian series is watch worthy. It seems they think of India as some tribal people doing hu la la in jungle.     The editors for indian edition are to be blamed.   
Best movie app I have,I love netflix...great movies and an awesome way to pass time. I found a show called blacklist that I just couldn't stop watching. Each episode just got better and better. finally just had to finish the whole season and be done with it   
Highly satisfied,Netfilx Provide alot of interesting and thrilling web series movies and other content as compared to others. The resolution and the service is so good !   
Refund,Netflix has initiated my refund in August that's 799 and was told will get refund within 30 working days but i did not got refund I called Netflix they said that the refund is in progress will have to wait more after a month I called Netflix they said that will take     more 15 days i said k i called after 15 days they said it was declined after 3 months nw they got to know that the refund has been declined and nw they have given a list stating that need this detail from bank just fooling around pathetic service ever got will never recommended anyone for Netflix beaware   
Netflix,Very bad and bad     In short they are “chor”     I am create new account on received msg.     And the cut charges from my account     It is disgusting     Netflix chor hai   
Netflix Is not up to date.,Netflix is one of the most famous websites on the Net.     It has almost all of the tv series released anywhere as well as some movies.     But Netflix is ny up to date for any series except the NETFLIX ORIGINAL SERIES.     For example. AMC'S The Walking Dead netflix only has 9 seasons of this series while AMC has released 10th season already.     Netflix doesnt have the license to stream the other lastest seasons of almost all the series available through other channels like AMC.     Well we can say that we are spending a lot of money on this website while we dont even recieve updated seasons on time.     This is the biggest flaw present on NETFLIX.   
Worth trying,This company is foreign based So the number of Indian movies and series are very less.Even all the english movies and series are not available.Old movies are also hard to find. Although it's the most famous platform for the release of the movies and series the cost per account is very high for a middle class person.They give only one month of free trail version. The number of accounts are also restricted to five and more number of accounts cannot be played at once.     So it totally depends upon you whether to subscribe as per your economic and entertainment neends   
Very good,I install this app to watch latest movies and documentaries. This is really usefull app I install this again recently but doesn't take any subscription. I'll take this as soon. Moreover this is useful app.   
Too Costly to Use.,Hello Everyone.!     Netflix is online video streaming Platform where we can find Hollywood Bollywood Movies and so many tv series. And it is user friendly so that anyone can use it without getting irritated. now Netflix has started producing its own Movies and tv series which are only available on Netflix.Everything is Cool about Netflix except its Subscription literally is too expensive. To watch in HD you need to get subscription of Rs 649 for only one month. and there are other plans too which are cheaper but they are not of any use.     So I didn't like the subscription plans of Netflix. It should charge less so that mostly everyone can afford it.     Thank you.   
Netflix.,Those who wanna enjoy in high quality hollywood movies for them netflix is the best platform.     but it is too expensive to buy the premium plan for netflix so it is better for us to share the cost with our friends.     NOW in india netflix has launched a new plan for indian customers that is 200rs per month.   
Nice site,This site is very good for the people which like to see serials and web series. the video quality is great . movies are also available in high quality in this website . netflix app is very well featured for kids also . overall this website is very good for people who like to watch movies in their free time .   
Netflix - Pathetic Services and Worst CustomerCare,Netflix is providing worst services to customers. They are really ruthless/worst service provider while responding to a customer.     I cancelled my account before end of billing cycle but still they charged my card and clearly refused to refund me the amount.     Their Customer care executives "Amita & Hanif" are even worst in responding and they even don't have the courtesy to support their customer.     Netflix is a provider who Don't even have the Customer care Mail ID so customer are not even write to them for their concern. Customer will not be having any evidence if they contact customer care because there are only 2 ways to connect - Voice and Chat and both are in control of Netflix that when how and what to respond.     My suggestion / recommendation is BIG NO to NETFLIX. They are worst.   
Not value for money.,So are you guys seriously paying ₹; 800 per month for movies and tv shows? . and still just 4-5 screens.     I agree that there is good content on netflix but the pricing is too high for that. If you compare this from its main compitetor amazon prime they offer you alot more things than just movies/tv shows. Also the Indian audience enjoys prime more than netflix ( majority) .   
NETFLIX the WORST,Netflix is the worst website becuase they are just thiefs who automatic money from account  First of all they do not mention about automatic subscription.And then cut automatic money from account.also not showing good gesture when called in the customer care.   
Netflix the worst,First of all they do not mention about automatic subscription. And then they cut automatic money from the credit card which is not bearable. Also when called in their customer care they do not show good gesture. Again when asked for refund they say you cannot.. .   
Best for Movies?,Netflix is the best movie watching platform all around the globe. It fulfils all the requirement of a Movie Lover. Netflix browsing movie and tv- series is up to the mark. And updates never upset the audience. They also provide One- month free subscription and we can also cancel our subscription before they charge us. Is'nt cool?     I love watching Netflix produced movies and TV series. they are highly VFX used and so much attractive.     Go for it. Netflix is what Every teenager wants.   
The best streaming website till date!,Netflix is one the most popular streaming service in India. It is a platform where you can stream and watch movies and web series. Below are some of the reasons for which I would recommend Netflix over other streaming platforms:        Video and Audio quality on Netflix is the best in it’s class.        The UI ( User Interface) of the Netflix app is amazing and user friendly.        The movies and web series are available in most of the languages spoken in India.        The subscription price ofcourse. It costs only Rs. 500 per month for the Basic plan to Rs. 800 for the Premium plan which doesn’t hurt the pocket of a middle class man.           Also Netflix releases some of the stuff of it’s own as well which is only available on Netflix.     One such example is Delhi crime.     I personally have watched many movies such as Crazy Stupid Love Sex tape and Beauty and the beast and web series such as Sacred Games Sex education and Delhi crime and would recommend each one of you reading my review to buy the subscription and enjoy streaming movies and web series in the best quality available on the internet.   
Netflix,Netflix one of the best online source of movies original series created by their production. You take ayy subject you will find the series on that one like space family drama comedy adult relationship regional and international.     One of the best place for time pass groups. Obe in all right place.   
NETFLIX,Netflix is one of the online movie site.Its provides original series and movies.Once I used be a member of netflix.My experience are as follows:     1.QUALITY: I agree that netflix provides the best quality.But You cant download to your file.either you watch it online or download will be on app or site you cant tranfer.     2.CONTENT: The contents or most of the movies and series are from hollywood.There are few which are from Bollywood.And those are old one.You will not find the new releases movie.And you will not find all the movies.Each time I searched and each time I became sad.     3.SUBSCRIBTION: The best things is that it will give you a chance for one month trial.But you have to register by your dabit card .And after one month you have to pay.     4.PRODUCT VALUE: I think the subscribtion charge is expansive in order to the product is providing.You will not found all the movies and also not find the new releases movie.There only few bollywood movies and series.And it take highest subscribtion charge among all.     So it was my experience.if you want go and use.Your experience will may be different.i hope it will help you.   
Paying money to watch movies which are on TV,This application has movies tv series shows which are already there in tv or telecasted on tv. Waste of money to watch contents which are already available for free. I don't know why people buy Netflix account.     Bad features:     Waste of money: we can watch all those movies for free outside in various websites and in television no need to pay money for those stuff. People are really mad if they buy a Netflix account.     Fake free trial: They say we give a free one month trial but to experience that one month duration free trial we have to pay for the future plans that we will take after that trial.     They take card details so that they can deduct money after one month.     My personal point of view: There is no need for all these Netflix accounts because all the content in this application is available outside for free of cost. So better don't spend your money on such stuffs which is available for absolutely free.   
I am Now On Netflix,I am using netflix app from last 1 month and I am so imprresed from its Uniqe content . Netflix's orignal series and movies is great . Netflix provide me best content that I want . Tv Dth channel is so old thing This is time of Online video streming and Netflix is No.1 from video streaming app . I am forgot tv and swithched to Netflix app . I am using its 1 month free subscription plan and now I continious with 650rs plan . So guys I you want great content thant you want to watch then netflix is best choice for you .   
Netfilx,Its awseome and amazing the movie and espiode are based on true story the way they director the movie are awsome if u are wasting some money on other so spend on this this is the awsome platform to watch they are many serious and other type of movie .if u looing for a adult movie or horror movie this website give the best option in your entire life.   
Good site,The netflix is very good site and for paid members netflix releases webseries.     which is very good like sacred games  Ghoul etc. I think sacred games is very good web series of india . also netflix is best site for watching webseries.     In netflix there is no add only you have to pay the membership fees and watch all series of netflix by unlimited streaming.   
Best website,Love it really the coolest one I ever seen the future is here install the coolest app to enjoy your best series with netflixes.????????????????????????????     Dmmm the best series you can find I love the combo of suspence of series with such nd ultimate characters its now my favourite timepass to achieve my intest goal   
Costly but worth,Yes netflix has been a streaming gaint in the U.S. but when it came to India it got even bigger.     I think the class and panache of the shows and movies that Netflix offers are far superior to other contemporaries of this era. It costs around 800₹ PM for 4 screens 650₹ PM for 2 screens and 500₹ PM for 1 screen. However you can't watch Ultra HD in 650₹ and 500₹ plans as well can't watch HD in 500₹ plan.     This still makes it very much costly for the Indian audience who are used to hotstar and Amazon prime.     But albeit amazon or hotstar it offers 1 month free trail period where you have full access to all the TV shows without ad commercials and thus it is an outstanding prospect especially for the youth.     It is a platform made for binge watching tv shows over the weekend. Sacred games has received such appraisal and warmth among the Indian audience as well as in foreign. This is something we have to take pride in and even though it is costly one should definitely trial the free month.   
Switch to Netflix stop watching TV,Hello friends today I am sharing my review on popular video streaming site NETFLIX.     I am using Netflix for last 6 months now. It is my companion on boring days. As I live away from house and cant get a TV it is the best option for me. If you are a student or live away I think it is a best option for you.     There are many hollywood and bollywood movies shows series on Netflix which you can watch just with a click.     The best thing about Netflix is its content which is far better then other companies. I have watched many shows here.     Moreover it is easy to use.     But it is quiet heavy on your pocket. Thats only bad thing about it.     One of my favourite thing on Netflix is their 'originals' which are way awesome.     I hope you liked my review try using Netflix it is way awesome.   
Instead of tv,Hi I have come across this app 2 years back . I am one of the member of Netflix.com . There are so many Hollywood movies but few Indian movies . Regarding to Customer service was good. Its user friendly app . We can access movies from year wise and along with we can view imdb rating also . There is an options like video quality & subtitles. Who are the people wants to relax while sleeping watch netflix.com movies and serials. Quality of the vidoes are awesome. It takes some time to retrieve the data. You can download the app from playstore . Start using it instead of tv. Its very entertainment for me . Thank u     HP   
NETFLIX REVIEW - SWITCH TO AMAZON PRIME INSTEAD !!,Netflix was a customer centric company according to me TILL* I had to deal with them today. I am a customer with them for a year now and this time due to some error at their end they were not able to charge the payment from the card that was attached with them from the beginning. They sent me a mail that they were not able to charge the payment for some issue and as soon as I got the mail they blocked my services right then and there when I had a family and friends get together and more than 20 people were watching a movie and suddenly I was locked out of the account and when I tried to login it showed me an unclear balance update on the screen to which I had to open up my mail which has been used for netflix subscription.     Now this was such a humiliation Imagine all of your family and friends sitting at your place to watch a movie together and they now have to see your face with a sorry look on it cause the company was not able to charge your card fr some problem at their end. I am saying at their end cause I tried to make a payment manually myself and the payment went through at "ONCE"! but this wasted my get together cause I did it after they left when I had faced the humiliation already. Then I decided to talk to their customer service department to address my issue to make sure that this doesn't repeat again and to my surprise the customer support guy was even a bigger IDIOT than thi stupid self proclaimed globally successful company.     I am pasting a chat which I had with the NETFLIX customer support executive and you will be amazed how that idiot was praising the company global presence instead of help and solving the issue. On top of that the people there dont care about the issue explained. He asked me whats my problem was when I had already written a 400 words description of the issue I was facing.     Before you start readying let me remind you its Saturday weekend when no banks works!     Below pasted is the chat log: DO READ IT!     Opening Message for explaining the issue     Me(Client) : I have been you people for more than 1 year now and you people are so DIS-RESPECTFUL towards your customer that if there was some issue with the payment you people just put the account on hold right away after just sending a mail. I must tell you people should seriously learn some customer service or sooner you will have no one to service. There are bigger players entered in the market now like amazon. I think they are 10 times lesser on price and much better for service. Need to talk here.     You are now chatting with: Jorge     Reply from Netflix Jorge: Hello there! I'll be glad to help you today can I have your name?     Me(Client) : Hello Jorge I am really pissed right now noting against you my friend but to your Luck today your working with netflix and I am irritated from them     Me(Client) : you need any details from me to pull up my acc     Reply from Netflix Jorge: Thanks Nakul don't worry I'll help you out in the best way I can     Reply from Netflix Jorge: I have your accout right now     Reply from Netflix Jorge: What seems to be the issue?     Me(Client) : did you not read the issue I just mentioned     Reply from Netflix Jorge: Yes I was reading that your account is on hold     Me(Client) : its like more than 400 words     Me(Client) : plz go through it will explain my ISSUE     Me(Client) : then u can surly try to help     Reply from Netflix Jorge: Umm when an account gets on hold is because we couldn't collect the payment     Reply from Netflix Jorge: Since Netflix is a prepaid service that is what happens     Me(Client) : my friend if this is what happens then you must tell your people that they wil soon be falling short of customers for rigid service like that     Me(Client) : I think I should cancel my subscription     Me(Client) : and go with amazon     Reply from Netflix Jorge: We work very hard to offer a service and content that is valuable to all of our customers and will continue to do so. We allow our customers to cancel at any time and can help with this if you’d like. We’ll be expanding our global content library and launching more originals than ever before over the next year so we hope that you check us out again if you decide to cancel     Me(Client) : they are much cheaper and much uh better service     Me(Client) : my friend I would suggest you dnt just copy and paste a script that has been handed over to you     Me(Client) : if a client is pissed you should be smart enough to redress the issue and get him out of there rather than pasting a stupid script for global expansion plans that means a DIME to me     Me(Client) : I hope I am making sence to you     Reply from Netflix Jorge: This is not an issue     Me(Client) : sence     Reply from Netflix Jorge: We were not able to collect the payment     Me(Client) : sure I can see that     Reply from Netflix Jorge: You must get in contact with your bank to solve the issue that you are having with your credit card     Me(Client) : you could have given me a day or 2     Me(Client) : this is a weekend and I am sure u understand banks are not owned by the WORLD FAMOUS no service capable company NETFLIX     Me(Client) : Instead of doing this small company attitude of just sending a mail and stopping the service you could have allowed atleast 3-4 days for me to resolve this     Reply from Netflix Jorge: We do not offer this as a feature so you need to solve the issue that you are having and then you can rejoin us after that     Me(Client) : you know even a startup company wouldnt behave this cheap as so call GLOBALLY EXPANSION COMPANY "NETFLIX" is     Me(Client) : dude     Reply from Netflix Jorge: Ok is there anything else I can help you with?     Me(Client) : trust me ur not working for a stupid company but u are not a good representative for them as well     Me(Client) : I am going to update this conversation to most blogs     Me(Client) : and make sure people know what you people have to offer     Reply from Netflix Jorge: We offer prepaid streaming service     Me(Client) : you should change ur job from a customer representative I suggest. cause you cannot even service a simple request.     Me(Client) : I could have handled this much better my friend     Me(Client) : I pity     Me(Client) : take care.     =     I would suggest you don't go for these idiots rather than go for a company that atleast understand your problems sometimes.     CHEERS!   
Netflix- very limited series and movies,Apart from their high definition quality stuff that can be watched is very limited. I fail to understand why people subscribe to it. Anythinf whatsoever I search is not in there like I watch russel peters show but they hardly have 4 recordings. I think netflix is good for starters but for people who have specific interest in good english series and movies its a waste This is the second time I have discontinued my subscription.   
Best television replacement,I have been using netflix for the past 2 months on my Vu smart tv and don't want to even watch regular television. The content on Netflix is just awesome. I have already about 10 netflix series like Stranger things 13 reasons why and many more. I have a netflix subscription for about 900 rupees which let's me use the service on more than 1 platform . The smart tv interface is better according to me as it's more fun to navigate on the smart tv app then on a computer or a mobile device . There are options for resolution quality subtitles and captions. Also options for audio setting  stereo or 5.1 channel sound.     It also runs fine on a 4 Mbps internet connection which is also being used by various mobile devices simultaneously . There is one flaw sometimes the sound quality is not so clear and you have to switch between the audio settings of stereo and 5.1 channel audio. But overall this is one of the best entertainment websites on the internet. It's even better than the Amazon prime entertainment website which is famous nowadays in India. I would personally recommend this product for people who are fed up the ordinary indian entertainment channels and want a serious upgrade to their tv watching experience.   
Beware Guys : Don't take trial of netflix,Guys Netflix attracts by giving a 1 month trail free of cost. They take credit card details from you for providing trail. They say that they will only charge credit card when you will opt for paid membership which is minimum Rs 500 per month. But they will automatically charge your credit card on the very next day of your trail expiry date without intimating or informing you . You will know when you will got message from your credit card company that you are charged. Guys this happened to me. My credit card company says that you have given details to Netflix so you speak to them only we cannot help. Guys that means if some one hacks netflix server then they can charge your credit card with your full limit say 1 lacs rupees and your bank will say we cannot help talk to netflix.     When I spoke to netflix customer service they showed me their terms and conditions where it is mentioned clearly that they will charge credit card automatically if you don't cancel your free member ship before 1 month free trail. So beware!     Terms and Conditions as per netflix website:     We will charge your Payment Method for your monthly membership fee at the end of the free trial period unless you cancel your membership prior to the end of the free trial period. To view the monthly membership price and end date of your free trial period visit our website and click the "Billing details" link on the "Your Account" page.   
An awesome website for films,Hello my dear friends I would like to share my personal experience of using netflix services. actually this was a great experience for me . I am using this website since last three years and this experience was very joyful for me. I can watch latest movies at very reasonble price. I think it is much better than tv.        the layout of the website is very easy you can easily navigate the pages without any problem. website is very easy to use everyone can easily use the website. the android application is also very decent.        it works even on slow internet. thre is no issue with its connectivity. I think this website is developped in very good technology. I love this website and always will be.      
Netflix.com is good,Hello guys today I want to share my experience with Netflix.com. I love their service and it's a great way to choose what you really want. Unlike in India we need to watch shows that are shown to us by Cable TV operators which is always with repeating movies and serials. Netflix is a place you need to subscribe to them and watch unlimited movies TV shows etc.I was happy that netflix has come to Indian audience. I am using is that the collection of movies and TV shows are very limited. I hope very soon they just provide all the data like full movies collection and all other features.   
Highly Priced - Not satisfied.,If someone from Netflix is reading this please lower your prices according to Indian standards. Their standard price is 500rs for a month. While they have an excellent catalogue of movies and originals some of them are even exceptional but I cancelled my subscription because it was burning a hole in my pocket. People go to Amazon prime instead which is more value for money. Other areas they need to excel is in customer service sometimes when I was in a situation I called them and the lines were always busy.   
Loved it!!,I have been using Netflix from an year.before that I used to use my cousin's Netflix.now me and my three friends got our own subscription.when it comes to quality and quantity it's the best one.i saw latest episodes of punisher. in the past I saw daredevil dexter 13 reasons why many more.Basically i'm a series addict.this is one is the best for the folks of my kind.   
More price for subscription,Hi friends I want to share about netflix.com design American entertainment company which was been founded by mark and this website is used for the watching movies and TV shows which of the provided by the netflix.com like stranger things and House of Cards these are the TV shows which are provided by the netflix.com and in this Netflix is there Prime subscription which cost of 500 rupees per month this is a huge price but I do not suppose this much of price.     the customer service is very reliable and that take care of their customers for any detail in the subscription of the netflix.com     the product quality of the netflix.com is good and the picture quality which was been provided by them was good with no disturbance because it is one of the famous International site     you can pick the price of certain shows videos which had been provided by them.     but the only problem is with the subscription price provided by them.   
Super site,It the only website where you can watch latest and top unlinked online streaming videos. its the most one of the largest online streaming videos website. you can explore the new trending series like strange thinga guns and thighs official the games of throns and many more latest videos. so you can have a lot of fun.   
